,,,,,,,,,
PLAYER,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Kenny Adeleke,PF-C,10.50%,-,-,6' 6.5'',6' 7.75'',8' 8'',250,6' 10.25''
Maurice Ager,SG-PG,8.00%,-,-,6' 3.25'',6' 4.5'',8' 5.5'',203,6' 7.75''
LaMarcus Aldridge,PF-C,8.70%,-,-,6' 10'',6' 11.25'',9' 2'',234,7' 4.75''
Morris Almond,SG-SF,6.90%,-,-,6' 4.75'',6' 6'',8' 6.5'',214,6' 10''
Lou Amundson,PF,6.80%,-,-,6' 7.2'',6' 8'',8' 7.5'',221,6' 11.5''
Rashad Anderson,SG,17.30%,-,-,6' 3.25'',6' 4.5'',8' 4'',224,6' 7''
Hilton Armstrong,C-PF,6.30%,-,-,6' 9.5'',6' 10.25'',9' 1'',240,7' 4''
James Augustine,PF,5.50%,-,-,6' 8.25'',6' 9.75'',8' 8'',227,7' 0.25''
Renaldo Balkman,SF-PF,4.90%,-,-,6' 5.25'',6' 6.5'',8' 8.5'',206,7' 1''
J.P. Batista,PF,12.00%,-,-,6' 7.5'',6' 8.5'',8' 7.5'',265,6' 10''
Will Blalock,PG,7.20%,-,-,5' 11.25'',6' 0.5'',8' 0.5'',194,6' 6''
Brandon Bowman,SF,8.40%,-,-,6' 6.75'',6' 8.25'',8' 7'',209,6' 11.5''
Ronnie Brewer,SG-PG,5.00%,-,-,6' 5.75'',6' 6.75'',8' 7.5'',223,6' 11.25''
Denham Brown,SG-SF,9.00%,-,-,6' 4'',6' 5'',8' 6.5'',218,6' 9.5''
Brad Buckman,PF,10.50%,-,-,6' 7.25'',6' 8.75'',8' 11.5'',238,7' 0''
Nik Caner-Medley,SF,9.60%,-,-,6' 6.5'',6' 8'',8' 7'',234,6' 9''
Rodney Carney,SG-SF,5.30%,-,-,6' 4.5'',6' 5.75'',8' 7.5'',204,6' 10''
Keydren Clark,PG,11.60%,-,-,5' 9'',5' 10.25'',7' 8.5'',184,6' 2.5''
Mardy Collins,PG-SG,10.00%,-,-,6' 4.25'',6' 5.5'',8' 7'',224,6' 10''
Taquan Dean,SG-PG,3.90%,-,-,6' 2'',6' 3'',8' 2'',183,6' 6.75''
Terence Dials,PF-C,15.80%,-,-,6' 7.75'',6' 9'',8' 10'',253,7' 0''
Sean Dockery,PG-SG,7.30%,-,-,6' 0.75'',6' 2'',7' 11.5'',182,6' 4.5''
Jordan Farmar,PG,4.40%,-,-,6' 0.75'',6' 2'',7' 10.5'',171,6' 3''
Randy Foye,SG-PG,10.00%,-,-,6' 2.25'',6' 3.25'',8' 1'',212,6' 6.25''
Torin Francis,PF-C,12.40%,-,-,6' 9'',6' 10'',8' 9.5'',247,7' 1''
Rudy Gay,SF-PF,5.70%,-,-,6' 7'',6' 8'',8' 11.5'',222,7' 3''
Nick George,SF-SG,6.00%,-,-,6' 4'',6' 5.75'',8' 7'',201,6' 10''
Taj Gray,PF-SF,6.80%,-,-,6' 7.25'',6' 8.5'',8' 11'',231,7' 0.75''
Dan Grunfeld,SF-SG,10.40%,-,-,6' 4.75'',6' 6'',8' 3'',216,6' 6.25''
Matt Haryasz,PF-C,9.80%,-,-,6' 9.75'',6' 11'',8' 11.5'',219,7' 0.25''
Eric Hicks,PF,7.10%,-,-,6' 4.75'',6' 5.5'',8' 9.5'',238,7' 1.5''
Tedric Hill,SF-PF,7.30%,-,-,6' 7.75'',6' 9'',8' 11'',236,7' 1''
Daniel Horton,PG-SG,8.00%,-,-,6' 0.5'',6' 2.25'',8' 0.5'',198,6' 7''
Bobby Jones,SF-SG,8.00%,-,-,6' 5.75'',6' 6.75'',8' 5.5'',211,6' 9.5''
Solomon Jones,PF-C,7.40%,-,-,6' 8.5'',6' 9.75'',9' 1'',224,7' 4.75''
Viktor Keyru,SG-PG,5.50%,-,-,6' 5.25'',6' 6'',8' 8'',202,6' 9.25''
Marco Killingsworth,PF,19.00%,-,-,6' 5.5'',6' 6.75'',8' 8'',266,7' 3''
Tarence Kinsey,SF-SG,4.10%,-,-,6' 4.75'',6' 5.5'',8' 4.5'',179,6' 6.75''
Carl Krauser,PG,8.00%,-,-,5' 11.75'',6' 0.75'',8' 1'',190,6' 6.25''
Chris McCray,SG,9.60%,-,-,6' 3'',6' 4'',8' 0.5'',187,6' 5.75''
Gerry McNamara,PG-SG,12.80%,-,-,5' 11.75'',6' 0.5'',7' 8.5'',177,6' 0.75''
Pops Mensah-Bonsu,PF-C,5.80%,-,-,6' 7.5'',6' 9'',8' 9.5'',232,7' 0''
Paul Miller,PF-C,13.80%,-,-,6' 8.5'',6' 9.25'',8' 5.5'',251,7' 0''
Paul Millsap,PF,9.70%,-,-,6' 6.25'',6' 7.25'',8' 9.5'',258,7' 1.5''
Dwayne Mitchell,SG-SF,4.50%,-,-,6' 2'',6' 3.25'',8' 2.5'',208,6' 6.5''
Adam Morrison,SF,6.80%,-,-,6' 6.5'',6' 7.75'',8' 9'',198,6' 10''
Yemi Nicholson,PF-C,17.20%,-,-,6' 7.75'',6' 9.5'',8' 11'',258,7' 4.25''
David Noel,SF-SG,6.10%,-,-,6' 4.5'',6' 6'',8' 4'',223,6' 9.5''
Steve Novak,SF,8.10%,-,-,6' 8'',6' 9.25'',8' 7'',216,6' 9.5''
Patrick O'Bryant,C,10.00%,-,-,6' 11'',7' 0'',9' 5'',249,7' 5.75''
Danilo Pinnock,PG-SG,4.60%,-,-,6' 2.75'',6' 4'',8' 4.5'',204,6' 7.5''
Chris Quinn,PG-SG,5.90%,-,-,6' 0.5'',6' 1.5'',7' 10'',175,6' 5''
Allan Ray,SG,9.80%,-,-,6' 1'',6' 2.25'',8' 3.5'',204,6' 8.5''
JJ Redick,SG,7.00%,-,-,6' 4'',6' 4.75'',8' 1.5'',190,6' 3.25''
Antywane Robinson,SF-PF,6.90%,-,-,6' 6.25'',6' 7.5'',8' 9.5'',217,7' 2.5''
Brandon Roy,SG-SF,7.60%,-,-,6' 5.25'',6' 6.25'',8' 5'',207,6' 8''
Blake Schilb,PG-SG,11.30%,-,-,6' 5.25'',6' 6.25'',8' 6'',209,6' 8.75''
Mouhamed Sene,C,6.60%,-,-,6' 11'',7' 0'',9' 5'',237,7' 8.5''
Cedric Simmons,PF-C,5.60%,-,-,6' 8.25'',6' 9.5'',9' 0.5'',223,7' 4.25''
Marcus Slaughter,PF-SF,8.50%,-,-,6' 7'',6' 8'',8' 8.5'',220,6' 11.5''
Craig Smith,PF,12.20%,-,-,6' 5.5'',6' 6.5'',8' 7.5'',259,6' 9.5''
Steven Smith,SF-PF,7.80%,-,-,6' 7.5'',6' 9.25'',8' 8'',238,7' 0.5''
Michael Southhall,C,7.90%,-,-,6' 9.5'',6' 10.25'',8' 11.5'',241,7' 4.25''
Frans Steyn,C,12.80%,-,-,7' 1.25'',7' 2.5'',9' 1'',280,7' 2.25''
Curtis Stinson,SG,6.00%,-,-,6' 1.75'',6' 2.75'',8' 1.5'',208,6' 5''
Tyrus Thomas,PF-SF,5.60%,-,-,6' 7.25'',6' 8.25'',9' 0'',217,7' 3''
Joah Tucker,SF-SG,7.00%,-,-,6' 3.75'',6' 5.25'',8' 3.5'',224,6' 6.5''
Ian Vouyoukas,C-PF,14.80%,-,-,6' 8.5'',6' 9.5'',9' 0.5'',267,7' 0.75''
Darius Washington,PG,9.70%,-,-,5' 11.5'',6' 1'',8' 0'',195,6' 4''
CJ Watson,PG,5.20%,-,-,6' 0.5'',6' 1.75'',8' 0'',171,6' 6''
Marcus Williams,PG,12.40%,-,-,6' 2'',6' 3.25'',8' 1.5'',215,6' 7''
Shawne Williams,SF-PF,8.00%,-,-,6' 7.25'',6' 8.75'',8' 8'',227,7' 3''
Justin Williams,C-PF,6.50%,-,-,6' 7.25'',6' 8.75'',9' 1'',211,7' 1.5''
Shelden Williams,PF-C,11.40%,-,-,6' 7.5'',6' 8.5'',8' 8'',258,7' 4.25''
Eric Williams,C-PF,13.00%,-,-,6' 7.25'',6' 8.75'',8' 10.5'',285,7' 4.25''
Curtis Withers,PF-SF,5.00%,-,-,6' 6'',6' 6.5'',8' 5'',227,6' 10''
Alex Acker,SG,-%,-,-,6' 3.75'',6' 4.75'',8' 6.5'',183,7' 0''
Deji Akindele,C-PF,-%,-,-,6' 9.5'',6' 11'',9' 0.5'',236.4,7' 3''
Mustafa Al-Sayyad,PF-C,-%,-,-,,,,-,
Nemanja Aleksandrov,PF-SF,-%,-,-,6' 10'',7' 0'',9' 2'',220.6,6' 11''
Alan Anderson,SG-SF,-%,-,-,6' 4.5'',6' 6'',8' 8'',223.2,6' 9.5''
Martynas Andriuskevicius,C-PF,-%,-,-,7' 1.25'',7' 3'',9' 4.5'',227.8,6' 11.25''
Sean Banks,SF,-%,-,-,6' 5.75'',6' 7'',9' 0'',206.4,7' 1''
Eddie Basden,SG-SF,-%,-,-,6' 4.25'',6' 5.5'',8' 5'',210,6' 10.25''
Mike Bell,SF-PF,-%,-,-,6' 8.75'',6' 9.25'',8' 8.5'',206.2,7' 1.5''
Andrew Bogut,C-PF,-%,-,-,6' 11'',7' 0.25'',9' 2.5'',250.6,7' 3''
Dee Brown,PG-SG,-%,-,-,5' 11'',6' 0'',7' 10'',179,6' 2''
Will Bynum,PG-SG,-%,-,-,5' 10.5'',5' 11.5'',7' 9'',188.8,6' 3.5''
Marcus Campbell,C,-%,-,-,6' 10.25'',7' 0.25'',9' 6'',280.4,7' 6''
Will Conroy,PG,-%,-,-,6' 1'',6' 2'',8' 0.5'',188.6,6' 3''
Taylor Coppenrath,PF-SF,-%,-,-,6' 7.75'',6' 9.25'',8' 10.5'',252.4,6' 11.5''
Travis Diener,PG-SG,-%,-,-,5' 11.75'',6' 1'',7' 9.5'',165.2,5' 11.75''
Ike Diogu,PF,-%,-,-,6' 6.5'',6' 8'',9' 1'',255.4,7' 3.5''
Daryl Dorsey,PG,-%,-,-,5' 11.25'',6' 0.5'',7' 10'',160.8,5' 11.5''
Monta Ellis,SG-PG,-%,-,-,6' 2.25'',6' 3.25'',8' 2'',176.6,6' 2.75''
Raymond Felton,PG,-%,-,-,5' 11.5'',6' 0.25'',8' 2'',199.4,6' 4.25''
Rudy Fernandez,SG,-%,-,-,6' 4.75'',6' 6'',8' 5.5'',172,6' 7.5''
D'Or Fischer,C-PF,-%,-,-,6' 9.25'',6' 10.5'',9' 2.5'',242.4,7' 6''
Eddy Fobbs,C-PF,-%,-,-,6' 10.25'',6' 11.25'',9' 3.5'',235.2,7' 6.75''
Sharrod Ford,PF,-%,-,-,6' 7.25'',6' 8.25'',8' 10'',212.8,7' 1.5''
Channing Frye,PF-C,-%,-,-,6' 9.5'',6' 10.5'',9' 2.5'',243.6,7' 2.5''
Deng Gai,PF-C,-%,-,-,6' 7.75'',6' 9.25'',9' 2.5'',214,7' 4.5''
Francisco Garcia,SF-SG,-%,-,-,6' 5.75'',6' 7'',8' 7'',189.6,6' 10.75''
John Gilchrist,PG,-%,-,-,6' 1.25'',6' 2.5'',8' 0.5'',195.2,6' 9.25''
Marcin Gortat,PF-C,-%,-,-,6' 11'',7' 0'',9' 2'',225.2,7' 3.5''
Joey Graham,SF,-%,-,-,6' 5.25'',6' 6.5'',8' 8'',216.6,6' 8''
Danny Granger,,-%,-,-,6' 7.5'',6' 8.5'',8' 7'',225.4,7' 1.5''
Gerald Green,SF,-%,-,-,6' 6'',6' 7.25'',8' 8'',192,6' 9.75''
Charles Hayes,SF-PF,-%,-,-,6' 5.5'',6' 6.75'',8' 8.5'',232.4,6' 10''
Luther Head,PG-SG,-%,-,-,6' 2'',6' 3'',8' 2.5'',178.8,6' 5.25''
Julius Hodge,SG-SF,-%,-,-,6' 6'',6' 7'',8' 11.5'',202.2,7' 0.5''
Jared Homan,C-PF,-%,-,-,6' 7.75'',6' 8.75'',8' 8.5'',248.2,7' 1.25''
Ersan Ilyasova,SF,-%,-,-,6' 7.75'',6' 9'',9' 1.5'',208.8,7' 1.25''
Jarrett Jack,PG,-%,-,-,6' 2.5'',6' 3.5'',8' 4'',197.6,6' 7.5''
Dwayne Jones,C-PF,-%,-,-,6' 8.5'',6' 10'',9' 0.5'',242.2,7' 2.75''
Mindaugas Katelynas,SF-PF,-%,-,-,6' 7.5'',6' 8.5'',8' 9.5'',217,6' 11''
Jason Klotz,C-PF,-%,-,-,6' 8.5'',6' 9.75'',8' 11.5'',249.4,6' 10''
Carl Krauser,PG-SG,-%,-,-,5' 11.5'',6' 0.75'',8' 2.5'',193.4,6' 5.5''
Keith Langford,SG-SF,-%,-,-,6' 2.25'',6' 3.5'',8' 5'',203.2,6' 9''
David Lee,PF,-%,-,-,6' 7.75'',6' 9'',8' 10.5'',229.5,7' 0''
David Lucas,PF,-%,-,-,6' 6.5'',6' 7.75'',8' 7.5'',233.4,7' 0''
John Lucas III,PG,-%,-,-,5' 9.25'',5' 10.5'',7' 8'',154.4,6' 0''
Rawle Marshall,SG-SF,-%,-,-,6' 4.5'',6' 5.75'',8' 8'',186.6,7' 1''
Jason Maxiell,PF,-%,-,-,6' 5'',6' 6.25'',8' 11'',257.6,7' 3.25''
Sean May,PF,-%,-,-,6' 7'',6' 8.5'',8' 9'',258.8,7' 1.25''
Rashad McCants,SG,-%,-,-,6' 2.75'',6' 4'',8' 7.5'',201,6' 10.75''
Ivan McFarlin,PF,-%,-,-,6' 5.5'',6' 6.75'',8' 9.5'',228.6,6' 9''
Juan Mendez,PF-SF,-%,-,-,6' 5.25'',6' 6.75'',8' 10.5'',231.4,7' 0''
Aaron Miles,PG,-%,-,-,6' 0'',6' 1.5'',7' 10'',174.6,6' 3.5''
Ellis Myles,PF,-%,-,-,6' 6'',6' 7.25'',8' 9.5'',255.2,6' 9.75''
Larry O'Bannon,SG,-%,-,-,6' 3'',6' 4.25'',8' 3.5'',196,6' 6''
Drago Pasalic,SF-PF,-%,-,-,6' 9.5'',6' 11'',9' 0.5'',238.8,6' 11.75''
Chris Paul,PG,-%,-,-,5' 11.75'',6' 1'',7' 9'',178,6' 4.25''
Kevin Pittsnogle,PF,-%,-,-,6' 9.25'',6' 10.25'',8' 10'',259.2,6' 10.5''
Carlos Powell,SF-PF,-%,-,-,6' 5.25'',6' 6.75'',8' 9'',221.8,6' 10.75''
Roger Powell,SF,-%,-,-,6' 4.75'',6' 6'',8' 8'',218.6,6' 11.5''
Ronnie Price,PG,-%,-,-,6' 0.75'',6' 2.25'',8' 0.5'',184.8,6' 5.5''
Anthony Roberson,PG,-%,-,-,6' 0.75'',6' 2.5'',7' 11'',178.8,6' 2.75''
Brandon Rush,SG-SF,-%,-,-,6' 5'',6' 6.5'',8' 8.5'',211.4,6' 11.25''
Luke Schenscher,C,-%,-,-,6' 11.75'',7' 1.5'',9' 3.5'',241.6,7' 5''
Wayne Simien,PF,-%,-,-,6' 7.25'',6' 9'',8' 11'',255.8,7' 0''
Tre Simmons,SG-SF,-%,-,-,6' 4'',6' 5'',8' 6.5'',194.2,6' 7.5''
David Simon,C-PF,-%,-,-,6' 8'',6' 9.5'',9' 0'',258.8,7' 3.5''
Chris Taft,PF,-%,-,-,6' 8.5'',6' 9.5'',9' 1'',261,7' 1.75''
Chris Thomas,PG,-%,-,-,5' 11.75'',6' 1'',7' 11'',176.2,6' 3''
Omar Thomas,SF-SG,-%,-,-,6' 3.25'',6' 4.5'',8' 6'',200,6' 8''
Dijon Thompson,SF-SG,-%,-,-,6' 6.25'',6' 8'',8' 9.5'',195.8,6' 9.75''
Ronny Turiaf,PF,-%,-,-,6' 8'',6' 9.25'',8' 10.5'',237.8,7' 1.5''
Charlie Villanueva,PF-SF,-%,-,-,6' 9'',6' 9.5'',9' 1'',236.6,7' 0.25''
Hakim Warrick,PF-SF,-%,-,-,6' 7.25'',6' 8.5'',9' 0'',215,7' 2''
Martell Webster,SF,-%,-,-,6' 6'',6' 7.5'',8' 10'',229.6,6' 11''
Robert Whaley,PF-C,-%,-,-,6' 8'',6' 9'',9' 0'',269.4,7' 2''
Marvin Williams,PF-SF,-%,-,-,6' 7'',6' 8.25'',9' 0'',228.2,7' 3.5''
Deron Williams,PG,-%,-,-,6' 1.75'',6' 2.75'',8' 2'',202.4,6' 6.25''
Jawad Williams,SF,-%,-,-,6' 7'',6' 8'',8' 10.5'',218,7' 1.25''
Antoine Wright,SF-SG,-%,-,-,6' 5.25'',6' 6.25'',8' 8.5'',202.6,6' 8.75''
Bracey Wright,SG-PG,-%,-,-,6' 1.25'',6' 2.5'',8' 4.5'',186.8,6' 10''
Tony Allen,SG,6.70%,-,-,6' 3.5'',6' 4.25'',8' 6'',214,6' 9''
Trevor Ariza,SG-SF,8.00%,-,-,6' 7'',6' 8.25'',8' 11.5'',201,7' 2''
Andre Barrett,PG,6.70%,-,-,5' 8.75'',5' 9.75'',7' 8'',171,6' 1''
Brandon Bass,PF,9.30%,-,-,6' 6.25'',6' 7.25'',8' 10.5'',246,7' 2.5''
Andris Biedrins,C,9.30%,-,-,,,,-,
Tony Bobbitt,SG,7.30%,-,-,6' 2.75'',6' 4'',8' 4'',185,6' 7''
Brian Boddicker,SF-PF,11.20%,-,-,6' 7.5'',6' 8.75'',8' 9.5'',230,6' 10''
Tim Bowers,PG-SG,2.60%,-,-,6' 0.5'',6' 1.75'',8' 2'',181,6' 9''
Andre Brown,PF-C,6.00%,-,-,6' 8'',6' 9.5'',8' 11'',236,6' 11''
Antonio Burks,PG,9.90%,-,-,6' 0'',6' 0.75'',8' 0.5'',191,6' 6.5''
Jackie Butler,C,16.30%,-,-,6' 8'',6' 9.5'',9' 1'',263,7' 1.5''
Aleksandar Capin,PG,9.30%,-,-,6' 0'',6' 1.25'',7' 10'',176,6' 1.5''
Ales Chan,C,14.80%,-,-,7' 0'',7' 2'',9' 5'',255,7' 3''
Josh Childress,SG-SF,9.30%,-,-,6' 5.75'',6' 7.25'',8' 9'',196,6' 11''
TJ Cummings,SF,6.70%,-,-,6' 7.5'',6' 8.75'',8' 10.5'',215,6' 9.5''
Erik Daniels,SF-PF,18.50%,-,-,6' 6.25'',6' 7.5'',8' 10'',223,6' 11''
Luol Deng,SF,6.70%,-,-,6' 7'',6' 8'',9' 0.5'',220,7' 0.5''
Marcus Douthit,C-PF,13.70%,-,-,6' 9.5'',6' 11'',9' 3.5'',223,7' 4''
Chris Duhon,PG,6.70%,-,-,6' 0'',6' 1.25'',8' 2'',193,6' 6.5''
John Edwards,C,14.10%,-,-,6' 11.25'',7' 1'',9' 5'',264,7' 4.5''
Andre Emmett,SG-SF,6.70%,-,-,6' 3.5'',6' 4.5'',8' 4'',216,6' 9''
Desmon Farmer,SG,5.30%,-,-,6' 4.5'',6' 5.75'',8' 7'',214,6' 8.5''
Luis Flores,PG-SG,6.00%,-,-,6' 0.5'',6' 1.75'',8' 2.5'',202,6' 7.5''
Matt Freije,SF-PF,10.80%,-,-,6' 8.25'',6' 9.5'',9' 0.5'',234,7' 1''
Chris Garnett,C-PF,14.80%,-,-,6' 8.25'',6' 9.75'',9' 0'',260,7' 1''
Ryan Gomes,SF-PF,-%,-,-,6' 6.5'',6' 7.75'',8' 10.5'',248,7' 2''
Ben Gordon,PG-SG,5.30%,-,-,6' 1'',6' 2.25'',8' 3'',192,6' 8.5''
Devin Harris,PG,5.30%,-,-,6' 1.75'',6' 3'',8' 2.5'',170,6' 7.5''
Dwight Howard,PF-C,10.50%,-,-,6' 9'',6' 10.25'',9' 3.5'',240,7' 4.5''
Rolando Howell,PF,11.70%,-,-,6' 7.5'',6' 8.5'',8' 11'',229,7' 0.5''
Kris Humphries,PF,6.70%,-,-,6' 8.25'',6' 9.5'',8' 10.5'',238,7' 0.5''
Andre Iguodala,SG-SF,6.70%,-,-,6' 5.75'',6' 6.75'',8' 9.5'',217,6' 11''
Martin Iti,C-PF,10.50%,-,-,6' 8.5'',6' 9.75'',9' 3.5'',233,7' 5''
Luke Jackson,SF-SG,8.00%,-,-,6' 6'',6' 7'',8' 7'',212,6' 8.5''
Al Jefferson,PF-SF,10.50%,-,-,6' 8.5'',6' 9.75'',9' 2'',263,7' 2.5''
Arthur Johnson,PF-C,16.30%,-,-,6' 7'',6' 8.5'',9' 1'',262,7' 3''
Ivan Koljevic,PG,6.70%,-,-,6' 1'',6' 2'',7' 11'',172,6' 2.5''
Herve Lamizana,SF-PF,6.70%,-,-,6' 7.5'',6' 8.5'',8' 11'',210,7' 1.5''
Sergei Lishouk,PF-SF,10.50%,-,-,6' 10.25'',6' 11.5'',9' 1.5'',244,7' 0''
Shaun Livingston,PG-SG,6.70%,-,-,6' 6.25'',6' 7.5'',8' 9.5'',186,6' 11''
Jaime Lloreda,PF,9.90%,-,-,6' 6.75'',6' 8.5'',8' 11'',247,6' 9.5''
Bryant Matthews,SF-SG,6.70%,-,-,6' 5.75'',6' 6.75'',8' 9.5'',206,7' 0.5''
Marcus Melvin,SF-PF,10.50%,-,-,6' 6.75'',6' 8.5'',8' 9.5'',241,7' 0''
Rich Melzer,PF-SF,12.40%,-,-,6' 7.5'',6' 8.75'',8' 11'',229,7' 2''
Ricky Minard,PG-SG,8.00%,-,-,6' 3.25'',6' 4.25'',8' 5.5'',198,6' 7''
James Moore,PF-SF,8.00%,-,-,6' 6.5'',6' 8'',8' 11'',198,7' 0.5''
Marcus Moore,PG-SG,14.80%,-,-,6' 4'',6' 5.25'',8' 5.5'',202,6' 9''
Michel Morandais,SG-SF,8.60%,-,-,6' 3.75'',6' 4.75'',8' 6'',205,6' 11.5''
Jameer Nelson,PG,8.00%,-,-,5' 11'',6' 0.5'',7' 11'',199,6' 2.5''
Misan Nikagbatse,SG-PG,12.90%,-,-,6' 3.5'',6' 4.75'',8' 6'',223,6' 10''
Emeka Okafor,C-PF,5.30%,-,-,6' 8.75'',6' 10'',9' 2.5'',257,7' 4''
Randall Orr,PF-SF,6.70%,-,-,6' 9'',6' 10.75'',8' 11.5'',193,6' 10.5''
Dylan Page,SF,12.30%,-,-,6' 7.5'',6' 8.75'',8' 9'',239,6' 7''
Drago Pasalic,PF,12.90%,-,-,6' 9.25'',6' 10.75'',9' 0'',231,6' 11.5''
Rickey Paulding,SG,5.30%,-,-,6' 2.75'',6' 4'',8' 5.5'',210,6' 9.5''
Kelvin Pena,SG-PG,8.60%,-,-,6' 2.25'',6' 3.25'',8' 3.5'',182,6' 6.5''
Tim Pickett,PG-SG,6.00%,-,-,6' 3'',6' 4.25'',8' 4.5'',207,6' 7.5''
Omar Quintero,PG,14.10%,-,-,5' 9.75'',5' 11.25'',7' 8.5'',170,5' 11.5''
Peter Ramos,C,6.70%,-,-,7' 1.75'',7' 3.25'',9' 3.5'',266,7' 5.5''
Jared Reiner,C-PF,12.90%,-,-,6' 10'',6' 11.75'',9' 1'',246,7' 0.5''
Lawrence Roberts,PF,9.30%,-,-,6' 7.5'',6' 9'',8' 10.5'',233,6' 9.5''
Bernard Robinson,SG-SF,6.00%,-,-,6' 5.25'',6' 6.5'',8' 6'',208,6' 10''
Nate Robinson,PG,6.70%,-,-,5' 7.75'',5' 9'',7' 7.5'',181,6' 1''
Aerick Sanders,PF,6.70%,-,-,6' 6.5'',6' 7.5'',8' 10'',205,6' 11.5''
Romain Sato,SG,6.00%,-,-,6' 2'',6' 3.25'',8' 6.5'',204,6' 11''
Blagota Sekulic,SF-PF,9.30%,-,-,6' 9.25'',6' 10.5'',8' 11'',234,6' 11''
Josh Smith,SG-SF,6.70%,-,-,6' 7'',6' 8.25'',8' 10.5'',221,7' 0''
J.R. Smith,SG-SF,6.70%,-,-,6' 5.5'',6' 6.75'',8' 8'',227,6' 10''
Kirk Snyder,SG-SF,9.30%,-,-,6' 6'',6' 6.75'',8' 8'',228,6' 9''
Pape Sow,PF-C,9.30%,-,-,6' 8.5'',6' 10'',9' 0.5'',233,7' 2''
Tiago Splitter,C-PF,5.30%,-,-,6' 10.25'',6' 11.75'',9' 1.5'',233,7' 2''
Blake Stepp,PG,8.00%,-,-,,,,-,
Tom Timmerrmans,PF-C,15.20%,-,-,6' 10.5'',6' 11.5'',8' 11.5'',272,6' 11''
Marko Tomas,SG-PG,9.30%,-,-,6' 6.5'',6' 7.75'',8' 7.5'',198,6' 7''
Beno Udrih,PG,9.30%,-,-,6' 2.5'',6' 3.75'',8' 2'',199,6' 4.5''
Jackson Vroman,PF-C,6.70%,-,-,6' 9.25'',6' 10.75'',8' 9.5'',226,7' 0''
Delonte West,PG-SG,6.70%,-,-,6' 1.5'',6' 2.75'',8' 3.5'',183,6' 6''
Damien Wilkins,SG-SF,7.30%,-,-,6' 4.5'',6' 6'',8' 10'',222,7' 0''
Mike Williams,SF,9.30%,-,-,6' 5.5'',6' 6.5'',8' 9.5'',197,6' 11.5''
Nate Williams,PF-SF,12.40%,-,-,6' 8.5'',6' 10'',9' 1.5'',240,7' 1.5''
Rashad Wright,PG,8.00%,-,-,6' 0.5'',6' 1.75'',8' 2.5'',190,6' 10''
Aloysius Anagonye,PF,10.50%,-,-,6' 6.75'',,8' 10'',257,7' 2.5''
Rick Anderson,SF-PF,9.90%,-,-,6' 8.25'',,8' 10.5'',216,6' 11''
Carmelo Anthony,SF,8.00%,-,-,6' 6.25'',,8' 9.5'',233,7' 0''
Jerome Beasley,SF-PF,9.90%,-,-,6' 9'',,8' 11'',237,7' 0.5''
Troy Bell,PG,5.30%,-,-,6' 0.25'',,8' 1.5'',178,6' 5''
LaVell Blanchard,SF,11.70%,-,-,6' 6'',,8' 5.5'',205,6' 6''
Keith Bogans,SG,8.00%,-,-,6' 4.25'',,8' 5'',213,6' 9.25''
Matt Bonner,PF-SF,13.60%,-,-,6' 8.5'',,8' 9.5'',242,6' 8.75''
Chris Bosh,PF,8.00%,-,-,6' 10.25'',,9' 1'',225,7' 3.5''
Jermaine Boyette,PG-SG,7.30%,-,-,6' 1'',,8' 0'',187,6' 4''
Souleymane Camara,PF-SF,9.90%,-,-,6' 9.75'',,9' 1'',211,7' 2.25''
Matt Carroll,SG-SF,6.70%,-,-,6' 5'',,8' 2.5'',207,6' 6.5''
Nick Collison,PF,17.00%,-,-,6' 8.75'',,9' 0'',255,7' 1.5''
Brian Cook,PF-SF,10.50%,-,-,6' 9.5'',,9' 1'',234,7' 2''
Joel Cornette,PF-SF,12.90%,-,-,6' 8.25'',,8' 9.5'',239,6' 9.25''
Marquis Daniels,SG-PG,4.00%,-,-,6' 5.25'',,8' 7.5'',198,6' 10''
Aleksander Djuric,C-PF,16.30%,-,-,6' 10'',,9' 0'',253,7' 0''
Ruben Douglas,SG,6.00%,-,-,6' 3.5'',,8' 4.5'',193,6' 7.25''
Ronald Dupree,SF-SG,6.70%,-,-,6' 6'',,8' 5'',209,6' 8.25''
Carl English,SG-PG,8.00%,-,-,6' 4'',,8' 2.5'',201,6' 5.25''
Ebi Ere,SG,14.10%,-,-,6' 3.5'',,8' 6'',210,6' 10.5''
Marquis Estill,PF-C,11.70%,-,-,6' 8.5'',,9' 0'',257,7' 4''
T.J. Ford,PG,6.70%,-,-,5' 11'',,7' 9.5'',162,5' 11.5''
Jason Gardner,PG,9.30%,-,-,5' 9.75'',,7' 8'',194,6' 1''
Willie Green,SG-PG,8.00%,-,-,6' 2.5'',,8' 4'',201,6' 7.25''
Justin Hamilton,PG-SG,8.00%,-,-,6' 3'',,8' 7'',217,6' 11''
Travis Hansen,SG,6.00%,-,-,6' 4.5'',,8' 4.5'',200,6' 6.5''
Trevor Harvey,C-PF,10.50%,-,-,6' 9.5'',,9' 1.5'',245,7' 1''
Marcus Hatten,PG,4.00%,-,-,6' 0.75'',,8' 2'',163,6' 6.25''
Kirk Hinrich,PG-SG,5.30%,-,-,6' 2.75'',,8' 2.5'',186,6' 6''
